ahu	ahuria
whakaatamira	whakaatamiratia
whakaatu	whakaaturia
whakae	whakaetia
whakaea	whakaeatia
whakaeke	whakaekea
whakaemi	whakaemia
whakaene	whakaenetia
whakaeraea	whakaeraeatia
whakaero	whakaerotia
whakahaere	whakahaerea
whakahake	whakahaketia
whakahanumi	whakahanumitia
whakahau	whakahaua
whakaheke	whakahekea
whakahemo	whakahemoa
whakahere	whakaherea
whakahinga	whakahingaia
whakahoa	whakahoatia
whakahohori	whakahohoritia
whakahoki	whakahokia
whakahori	whakahoria
whakahoro	whakahoroa
whakahorohoro	whakahorohorotia
whakahua	whakahuatia
whakahē	whakahēngia
whakahōnore	whakahōnoretia
whakahāwe	whakahāwea
whakahāwea	whakahāweatia
whakaihi	whakaihia
whakaingoa	whakaingoatia
whakainu	whakainumia
whakaipoipo	whakaipoipotia
whakairi	whakairia
whakairo	whakairohia
whakaiti	whakaitia
whakakaha	whakakahangia
whakakahaki	whakakahakitia
whakakai	whakakairia
whakakakara	whakakakaratia
whakakake	whakakakea
whakakao	whakakaotia
whakakapi	whakakapia
whakakikī	whakakikīa
whakakino	whakakinotia
whakakite	whakakitea
whakakoi	whakakoia
whakakopakopa	whakakopakopaia
whakakopi	whakakopitia
whakakore	whakakoretia
whakakorokoro	whakakorokorotia
whakakoromeke	whakakoromeketia
whakakā	whakakāngia
whakakāhore	whakakāhoretia
whakakākahu	whakakākahuria
whakakāniwha	whakakāniwhatia
whakakōpeke	whakakōpeketia
whakakōpē	whakakōpētia
whakakōrua	whakakōruatia
whakamahana	whakamahanatia
whakamahara	whakamaharatia
whakamahi	whakamahia
whakamamae	whakamamaetia
whakamana	whakamanaa
whakamanawa	whakamanawatia
whakamaroke	whakamaroketia
whakamataku	whakamatakuria
whakamate	whakamatea
whakamau	whakamaua
whakamihi	whakamihia
whakamine	whakaminea
whakamoe	whakamoea
whakamuri	whakamuria
whakamutu	whakamutua
whakamīharo	whakamīharotia
whakamōhio	whakamōhiotia
whakamōkā	whakamōkātia
whakamākūkū	whakamākūkūtia
whakamāmā	whakamāmātia
whakamānu	whakamānutia
whakamāoa	whakamāoatia
whakamāori	whakamāoritia
whakamārama	whakamāramatia
whakamārie	whakamārietia
whakamārōrō	whakamārōrōtia
